en,jp,idn
aid,援助,bantuan
ape,猿,kera
apt,~しそう/適切/相応,tepat
arm,腕,lengan
art,美術,seni
ask,聞く,bertanya
bag,バッグ,tas
ban,禁止,melarang
bug,虫,serangga
cab,タクシー,taksi
dim,薄暗い,redup
due,期限,jatuh tempo
era,時代,zaman
far,遠い,jauh
fat,脂肪,gemuk
fed,餌を与えた,diberi makan
few,少し,sedikit
fit,フィット,bugar
fix,修理,memperbaiki
flu,インフルエンザ,flu
fun,楽しい,seru
fur,毛皮,bulu
gas,ガス,gas
guy,男,pria
hub,ハブ,pusat
hug,ハグ,memeluk
ink,インク,tinta
jam,混雑する,selai
jet,ジェット,jet
job,仕事,pekerjaan
lag,遅れ,ketinggalan
lay,横たわる,berbaring
let,させて,membiarkan
lid,蓋,tutup
lot,多く,banyak
mad,狂った,gila
met,会った,bertemu
odd,奇数,aneh
owe,借りている,utang
own,自分の,memiliki
pay,支払う,membayar
per,パーセント,per
ran,走った,berlari
raw,生,mentah
rid,取り除く,menyingkirkan
row,行,baris
rug,ラグ,karpet
run,走る,berlari
sat,座った,duduk
saw,見た,gergaji
say,言う,mengatakan
see,見る,melihat
set,セット,mengatur
shy,シャイ,malu
son,息子,putra
sum,和,jumlah
tag,タグ,menandai
tax,税,pajak
too,あまりにも,juga
vcr,ビデオデッキ,vcr
via,経由,melalui
war,戦争,perang
yep,そうだね,ya
yet,まだ,belum
acid,酸,asam
ages,年齢,usia
also,また,Juga
area,エリア,daerah
away,離れて,jauh
baby,赤ちゃん,Sayang
back,戻る,kembali
bank,銀行,bank
beat,ビート,mengalahkan
been,された,pernah
bent,曲がった,bengkok
best,最高,terbaik
bill,請求書,tagihan
blew,吹いた,meledak
blue,青,biru
bold,太い/大胆な,berani
bomb,爆弾,bom
bore,退屈させる,membosankan
boss,ボス,bos
both,両方,keduanya
bush,茂み,semak-semak
busy,忙しい,sibuk
cake,ケーキ,kue
call,電話,panggilan
calm,落ち着いた,tenang
came,来た,telah datang
care,お手入れ,peduli
case,場合,kasus
cash,現金,uang tunai
cast,キャスト,pemeran
cave,洞窟,gua
cell,細胞,sel
city,市,kota
cold,寒い,dingin
come,来る,datang
cook,料理する,memasak
cool,クール,Dingin
cops,警官,polisi
cost,料金,biaya
crew,クルー,awak kapal
curb,縁石,mengendalikan
cure,治す,menyembuhkan
damn,くそ,berengsek
data,データ,data
days,日々,hari
deal,取引,kesepakatan
debt,借金,utang
deli,デリ,toko makanan
died,死亡しました,mati
diet,ダイエット,diet
does,する,melakukan
done,終わり,Selesai
down,下,turun
drop,落とす,menjatuhkan
drug,薬,obat
duty,義務,tugas
dyed,染め,dicelup
each,それぞれ,setiap
earn,得る,menghasilkan
else,それ以外,kalau tidak
ends,終わる,berakhir
envy,妬み,iri
even,イーブン/平等/同点,bahkan
ever,これまで,pernah
evil,悪,kejahatan
exam,テスト,ujian
exit,出口,KELUAR
face,顔/正面,menghadapi
fact,事実,fakta
fade,薄れる,memudar
fair,公平,adil
fake,偽物,palsu
fall,秋,jatuh
fame,名声,popularitas
fans,ファン,penggemar
fate,運命,takdir
fear,恐れ,takut
feat,偉業,prestasi
feel,感じる,merasa
feet,足,kaki
fell,落ちた,menjatuhkan
felt,感じた,dirasakan
fill,埋める,mengisi
fine,大丈夫/罰金,Bagus
fire,火,api
firm,固い,tegas
flat,フラット,datar
food,食べ物,makanan
ford,フォード,mengarungi
free,無料,bebas
full,満杯,penuh
fund,基金,dana
fuss,大騒ぎ,keributan
game,ゲーム,permainan
gave,与えた,telah memberi
gene,遺伝子,gen
gets,取得,mendapat
gift,贈り物,hadiah
give,与える,memberi
glad,嬉しい,senang
glue,のり,lem
goes,行きます,pergi
gone,消えた,hilang
grew,成長した,tumbuh
hall,ホール,aula
hang,下がる,menggantung
hard,難しい,keras
hate,嫌い,membenci
have,持っている,memiliki
head,頭,kepala
heap,ヒープ/塚/積み重ねたもの,tumpukan
heat,熱,panas
help,ヘルプ,membantu
here,ここ,Di Sini
hide,隠れる,bersembunyi
hold,所有,memegang
home,家,rumah
hope,希望,harapan
huge,巨大な,sangat besar
hurt,傷つく,terluka
idea,アイデア,ide
into,の中へ,ke dalam
jail,刑務所,penjara
june,六月,Juni
junk,ジャンク,sampah
just,ただ,hanya
keep,保つ,menyimpan
kids,子供たち,anak-anak
kill,殺す,membunuh
know,知る,tahu
lack,足らない,kekurangan
laid,敷いた,dibaringkan
lake,湖,danau
last,最後,terakhir
late,遅い,terlambat
lazy,怠け者,malas
lead,鉛,memimpin
left,左,kiri
lend,貸す,meminjamkan
less,少ない,lebih sedikit
life,人生,kehidupan
like,のように,menyukai
line,ライン,garis
live,ライブ,hidup
load,負荷,memuat
long,長さ,panjang
look,見て,Lihat
